canonical_smiles,molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value
C=CC(=O)N1CCC[C@H](Nc2nc(Nc3ccc(OC)cc3)ncc2F)C1,CHEMBL5790361,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCCNC(=O)OC(C)(C)C)cc3)ncc2F)c1,CHEMBL5815367,,IC50,nM,100.0,IC50,nM,100.0
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCCNC(=O)OC(C)(C)C)cc3)ncc2F)c1,CHEMBL5815367,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCCNC(=O)OC(C)(C)C)cc3)ncc2F)c1,CHEMBL5815367,,k_off,s-1,,koff,s-1,
C=C(C)C(=O)c1cccc(Nc2nc(Nc3cccc(OC(F)(F)F)c3)ncc2F)c1,CHEMBL6041177,6.26,IC50,nM,550.0,IC50,nM,550.0
C=C(C)C(=O)c1cccc(Nc2nc(Nc3cccc(OC(F)(F)F)c3)ncc2F)c1,CHEMBL6041177,,kon,,,kon,M-1-s-1,
C=C(C)C(=O)c1cccc(Nc2nc(Nc3cccc(OC(F)(F)F)c3)ncc2F)c1,CHEMBL6041177,,k_off,s-1,,koff,s-1,
C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OC)c3)ncc2C(=O)Nc2ccccc2)c1,CHEMBL5752925,,IC50,nM,100.0,IC50,nM,100.0
C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OC)c3)ncc2C(=O)Nc2ccccc2)c1,CHEMBL5752925,,kon,,,kon,M-1-s-1,
C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(OC)c3)ncc2C(=O)Nc2ccccc2)c1,CHEMBL5752925,,k_off,s-1,,koff,s-1,
C=CC(=O)N1CCC(Nc2nc(Nc3cccc(OC)c3)ncc2F)C1,CHEMBL6016272,6.26,IC50,nM,550.0,IC50,nM,550.0
C=CC(=O)N1CCC(Nc2nc(Nc3cccc(OC)c3)ncc2F)C1,CHEMBL6016272,,kon,,,kon,M-1-s-1,
C=CC(=O)N1CCC(Nc2nc(Nc3cccc(OC)c3)ncc2F)C1,CHEMBL6016272,,k_off,s-1,,koff,s-1,
C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3ccc(OC)nc3)ncc2F)C1,CHEMBL5808792,,IC50,nM,1000.0,IC50,nM,1000.0
C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3ccc(OC)nc3)ncc2F)C1,CHEMBL5808792,,kon,,,kon,M-1-s-1,
C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3ccc(OC)nc3)ncc2F)C1,CHEMBL5808792,,k_off,s-1,,koff,s-1,
C=CC(=O)N1CCC(Nc2nc(Nc3ccc(OC)nc3)ncc2F)C1,CHEMBL5967217,,IC50,nM,1000.0,IC50,nM,1000.0
C=CC(=O)N1CCC(Nc2nc(Nc3ccc(OC)nc3)ncc2F)C1,CHEMBL5967217,,kon,,,kon,M-1-s-1,
